Program Time [s],data 0,on/off
4.73716,3136,0
4.74348,3130,0
4.74968,3123,0
4.75594,3118,0
4.76212,3114,0
4.76849,3109,0
4.77462,3102,0
4.7809,3097,0
4.78716,3091,0
4.79347,3085,0
4.79966,3081,0
4.80589,3069,0
4.81216,3065,0
4.81844,3061,0
4.82464,3056,0
4.83089,3039,0
4.83716,3042,0
4.84346,3037,0
4.84965,3034,0
4.85591,3026,0
4.86221,2930,0
4.86845,2930,0
4.87464,2907,0
4.88089,2915,0
4.88712,2906,0
4.89345,2901,0
4.89963,2899,0
4.90587,2895,0
4.91212,2883,0
4.91849,2881,0
4.92461,2878,0
4.93087,2874,0
4.93712,2862,0
4.94348,2863,0
4.94961,2859,0
4.95589,2846,0
4.96217,2847,0
4.96853,2841,0
4.97466,2834,0
4.98089,2833,0
4.98712,2992,0
4.99347,2987,0
4.99964,2985,0
5.00589,2979,0
5.01212,2966,0
5.01849,2961,0
5.02461,2960,0
5.03089,2957,0
5.03714,2945,0
5.0435,2938,0
5.04961,2933,0
5.0559,2928,0
5.06217,2914,0
5.06848,2917,0
5.07464,2908,0
5.08089,2896,0
5.08711,2903,0
5.09346,2890,0
5.09966,2885,0
5.10586,2881,0
5.11214,2987,0
5.11844,2979,0
5.12461,2976,0
5.1309,2975,0
5.13713,2970,0
5.14349,2962,0
5.14963,2960,0
5.15586,2957,0
5.16211,2950,0
5.16844,2947,0
5.1747,2942,0
5.18085,2942,0
5.18713,2934,0
5.19348,2928,0
5.19962,2925,0
5.2059,2913,0
5.21212,2914,0
5.21845,2907,0
5.22461,2902,0
5.23091,2896,0
5.23726,2927,0
5.24343,2915,0
5.24962,2912,0
5.25589,2903,0
5.26212,2899,0
5.26843,2896,0
5.27462,2895,0
5.28086,2886,0
5.28714,2881,0
5.29348,2875,0
5.29961,2874,0
5.30589,2866,0
5.31211,2862,0
5.31848,2859,0
5.32462,2856,0
5.33087,2850,0
5.33713,2843,0
5.34348,2838,0
5.34962,2832,0
5.35589,2832,0
5.36211,2907,0
5.36849,2902,0
5.37461,2898,0
5.38085,2896,0
5.38712,2891,0
5.39348,2885,0
5.39962,2881,0
5.40585,2873,0
5.41212,2864,0
5.41848,2864,0
5.42459,2859,0
5.43086,2855,0
5.43714,2848,0
5.44345,2845,0
5.44961,2839,0
5.45588,2833,0
5.4621,2832,0
5.46846,2831,0
5.47461,2825,0
5.48089,2818,0
5.48713,2811,0
5.49345,2804,0
5.49968,2800,0
5.50585,2799,0
5.51214,2791,0
5.51848,2785,0
5.52464,2783,0
5.53085,2775,0
5.53713,2769,0
5.54365,2765,0
5.54961,2759,0
5.55588,2756,0
5.56212,2754,0
5.56846,2743,0
5.57461,2740,0
5.58082,2735,0
5.58712,2734,0
5.59348,2730,0
5.59961,2727,0
5.60586,2719,0
5.61213,2778,0
5.61844,2769,0
5.62461,2768,0
5.63086,2766,0
5.63708,2761,0
5.64347,2751,0
5.64958,2748,0
5.65585,2738,0
5.66226,2736,0
5.66848,2729,0
5.67457,2726,0
5.68089,2720,0
5.68713,2714,0
5.69348,2709,0
5.69959,2705,0
5.70588,2697,0
5.71212,2693,0
5.71852,2689,0
5.72462,2686,0
5.73085,2681,0
5.73707,2733,0
5.74348,2727,0
5.74962,2723,0
5.75585,2717,0
5.76207,2712,0
5.76846,2705,0
5.77459,2704,0
5.78085,2701,0
5.78711,2690,0
5.79346,2687,0
5.79957,2685,0
5.80586,2679,0
5.81213,2675,0
5.81848,2671,0
5.82459,2666,0
5.83086,2658,0
5.83715,2655,0
5.84348,2650,0
5.84961,2645,0
5.85584,2643,0
5.86208,2725,0
5.86836,2721,0
5.87459,2717,0
5.88084,2713,0
5.88707,2706,0
5.89346,2704,0
5.89958,2697,0
5.90581,2691,0
5.91208,2687,0
5.9185,2683,0
5.92457,2677,0
5.93084,2672,0
5.93707,2672,0
5.94344,2664,0
5.94957,2658,0
5.95586,2653,0
5.96208,2649,0
5.96845,2641,0
5.97457,2640,0
5.98086,2634,0
5.9871,2626,0
5.99348,2625,0
5.99958,2621,0
6.00584,2619,0
6.01208,2609,0
6.01846,2607,0
6.02458,2602,0
6.03084,2595,0
6.03708,2589,0
6.04355,2580,0
6.04957,2578,0
6.05585,2570,0
6.06207,2569,0
6.06846,2555,0
6.07458,2547,0
6.08086,2544,0
6.08709,2535,0
6.09347,2537,0
6.09963,2530,0
6.10584,2523,0
6.11208,2667,0
6.11837,2660,0
6.12457,2654,0
6.1308,2653,0
6.13709,2646,0
6.14337,2641,0
6.14958,2640,0
6.15581,2636,0
6.16215,2630,0
6.16838,2629,0
6.1746,2624,0
6.18082,2620,0
6.18707,2618,0
6.19346,2613,0
6.19958,2605,0
6.20586,2599,0
6.21208,2598,0
6.21836,2593,0
6.22458,2587,0
6.23088,2582,0
6.23708,2544,0
6.24337,2541,0
6.24958,2535,0
6.25585,2529,0
6.26208,2525,0
6.26836,2513,0
6.27457,2512,0
6.28081,2509,0
6.28709,2503,0
6.29336,2499,0
6.29958,2502,0
6.30581,2493,0
6.31222,2487,0
6.31836,2485,0
6.32457,2480,0
6.33081,2476,0
6.33708,2474,0
6.34337,2467,0
6.34958,2464,0
6.35581,2455,0
6.36207,2672,0
6.36838,2670,0
6.37458,2659,0
6.38085,2653,0
6.38707,2650,0
6.39345,2641,0
6.39955,2639,0
6.4058,2635,0
6.41209,2629,0
6.41836,2624,0
6.42458,2615,0
6.4308,2613,0
6.43707,2608,0
6.44337,2605,0
6.44957,2600,0
6.45581,2591,0
6.46209,2589,0
6.46838,2583,0
6.47473,2583,0
6.48087,2576,0
6.48704,2613,0
6.49337,2607,0
6.49959,2594,0
6.50581,2590,0
6.51203,2582,0
6.51837,2579,0
6.5246,2576,0
6.53081,2570,0
6.53722,2557,0
6.54337,2552,0
6.54954,2548,0
6.55583,2544,0
6.56205,2543,0
6.56838,2535,0
6.57454,2529,0
6.58082,2521,0
6.58709,2513,0
6.59337,2512,0
6.59956,2512,0
6.60583,2506,0
6.61207,2544,0
6.61836,2542,0
6.62457,2530,0
6.63081,2527,0
6.63705,2521,0
6.64336,2513,0
6.64957,2509,0
6.65582,2505,0
6.66203,2498,0
6.66835,2495,0
6.67458,2491,0
6.6808,2481,0
6.68702,2483,0
6.69329,2480,0
6.69957,2477,0
6.70581,2467,0
6.71203,2464,0
6.71837,2459,0
6.72457,2453,0
6.7308,2450,0
6.73703,2573,0
6.74335,2559,0
6.74954,2549,0
6.75581,2545,0
6.76203,2538,0
6.76837,2528,0
6.77454,2527,0
6.78094,2522,0
6.78703,2517,0
6.79337,2510,0
6.79955,2506,0
6.80582,2503,0
6.81204,2502,0
6.81836,2496,0
6.82452,2491,0
6.83081,2484,0
6.83708,2480,0
6.84332,2476,0
6.84954,2471,0
6.8558,2470,0
6.86203,2704,0
6.86836,2698,0
6.87454,2691,0
6.88082,2685,0
6.88704,2675,0
6.89327,2660,0
6.89954,2667,0
6.9058,2658,0
6.91203,2653,0
6.91836,2646,0
6.9245,2642,0
6.93076,2640,0
6.93703,2634,0
6.94326,2631,0
6.94958,2628,0
6.95577,2617,0
6.96205,2614,0
6.96871,2610,0
6.97455,2608,0
6.98078,2605,0
